Plant_id;Area_m2;Plot;Plant_sp;Plant_sp_complete
Y;0.728;A;SGEN;Stauracanthus_genistoides
9;0.774;A;UPAR;Ulex_parviflorus
8;1.18;A;UPAR;Ulex_parviflorus
7;1.568;A;UPAR;Ulex_parviflorus
685;0.011;A;HPIC;Helichrysum_picardii
684;0.016;A;HPIC;Helichrysum_picardii
683;0.01;A;HPIC;Helichrysum_picardii
682;0.009;A;HPIC;Helichrysum_picardii
681;0.012;A;HPIC;Helichrysum_picardii
680;0.012;A;HPIC;Helichrysum_picardii
679;0.025;A;HPIC;Helichrysum_picardii
678;0.011;A;HPIC;Helichrysum_picardii
677;0.021;A;HPIC;Helichrysum_picardii
676;0.029;A;HPIC;Helichrysum_picardii
6;0.949;A;UPAR;Ulex_parviflorus
575;0.007;A;TMAS;Thymus_mastichina
574;0.037;A;TMAS;Thymus_mastichina
573;0.062;A;TMAS;Thymus_mastichina
572_1;0.049;A;TMAS;Thymus_mastichina
572;0.042;A;TMAS;Thymus_mastichina
571;0.177;A;TMAS;Thymus_mastichina
570;0.037;A;TMAS;Thymus_mastichina
569;0.005;A;TMAS;Thymus_mastichina
568;0.015;A;TMAS;Thymus_mastichina
567;0.005;A;TMAS;Thymus_mastichina
566;0.009;A;TMAS;Thymus_mastichina
5;0.244;A;UPAR;Ulex_parviflorus
485;0.165;A;HHAL;Halimium_halimifolium
484;0.432;A;HHAL;Halimium_halimifolium
483;0.125;A;HHAL;Halimium_halimifolium
482;0.234;A;HHAL;Halimium_halimifolium
481;0.14;A;HHAL;Halimium_halimifolium
480;0.718;A;HHAL;Halimium_halimifolium
479;0.378;A;HHAL;Halimium_halimifolium
478;0.204;A;HHAL;Halimium_halimifolium
477;0.412;A;HHAL;Halimium_halimifolium
476;1.296;A;HHAL;Halimium_halimifolium
475;0.452;A;HHAL;Halimium_halimifolium
474;0.089;A;HHAL;Halimium_halimifolium
473;1.149;A;HHAL;Halimium_halimifolium
472;2.439;A;HHAL;Halimium_halimifolium
471;0.912;A;HHAL;Halimium_halimifolium
4;0.295;A;UPAR;Ulex_parviflorus
380;0.07;A;CLIB;Cistus_libanotis
379;0.518;A;CLIB;Cistus_libanotis
378;0.193;A;CLIB;Cistus_libanotis
377;0.221;A;CLIB;Cistus_libanotis
376;0.852;A;CLIB;Cistus_libanotis
375;0.403;A;CLIB;Cistus_libanotis
374;0.606;A;CLIB;Cistus_libanotis
373;0.139;A;CLIB;Cistus_libanotis
372;0.075;A;CLIB;Cistus_libanotis
371;0.507;A;CLIB;Cistus_libanotis
370;0.152;A;CLIB;Cistus_libanotis
369;0.559;A;CLIB;Cistus_libanotis
368;0.261;A;CLIB;Cistus_libanotis
367;0.366;A;CLIB;Cistus_libanotis
366;0.759;A;CLIB;Cistus_libanotis
3;0.509;A;UPAR;Ulex_parviflorus
275;0.543;A;LPED;Lavandula_pedunculata
274;0.375;A;LPED;Lavandula_pedunculata
273;0.227;A;LPED;Lavandula_pedunculata
272;0.023;A;LPED;Lavandula_pedunculata
271;0.704;A;LPED;Lavandula_pedunculata
270;0.229;A;LPED;Lavandula_pedunculata
269;0.086;A;LPED;Lavandula_pedunculata
268;0.462;A;LPED;Lavandula_pedunculata
267;0.39;A;LPED;Lavandula_pedunculata
266;0.365;A;LPED;Lavandula_pedunculata
265;0.189;A;LPED;Lavandula_pedunculata
264;0.336;A;LPED;Lavandula_pedunculata
263;0.403;A;LPED;Lavandula_pedunculata
262;1.104;A;LPED;Lavandula_pedunculata
261;0.972;A;LPED;Lavandula_pedunculata
250;0.755;A;SGEN;Stauracanthus_genistoides
249;0.972;A;SGEN;Stauracanthus_genistoides
248;0.125;A;SGEN;Stauracanthus_genistoides
247;1.107;A;SGEN;Stauracanthus_genistoides
246;0.312;A;SGEN;Stauracanthus_genistoides
245;0.521;A;SGEN;Stauracanthus_genistoides
244;0.344;A;SGEN;Stauracanthus_genistoides
243;0.572;A;SGEN;Stauracanthus_genistoides
242;0.203;A;SGEN;Stauracanthus_genistoides
241;0.628;A;SGEN;Stauracanthus_genistoides
240;0.189;A;ROFF;Rosmarinus_officinalis
239;0.634;A;ROFF;Rosmarinus_officinalis
238;0.249;A;ROFF;Rosmarinus_officinalis
237;0.435;A;ROFF;Rosmarinus_officinalis
236;0.4;A;ROFF;Rosmarinus_officinalis
2;0.794;A;UPAR;Ulex_parviflorus
15;3.478;A;UPAR;Ulex_parviflorus
14;0.192;A;UPAR;Ulex_parviflorus
13;0.893;A;UPAR;Ulex_parviflorus
120;0.451;A;HCOM;Halimium_commutatum
12;0.392;A;UPAR;Ulex_parviflorus
119;0.215;A;HCOM;Halimium_commutatum
118;0.821;A;HCOM;Halimium_commutatum
117;0.944;A;HCOM;Halimium_commutatum
116;0.328;A;HCOM;Halimium_commutatum
115;1.116;A;HCOM;Halimium_commutatum
114;0.294;A;HCOM;Halimium_commutatum
113;0.872;A;HCOM;Halimium_commutatum
112;0.286;A;HCOM;Halimium_commutatum
111;0.146;A;HCOM;Halimium_commutatum
110;0.262;A;HCOM;Halimium_commutatum
11;0.199;A;UPAR;Ulex_parviflorus
109;0.388;A;HCOM;Halimium_commutatum
108;0.196;A;HCOM;Halimium_commutatum
107;0.402;A;HCOM;Halimium_commutatum
106;0.586;A;HCOM;Halimium_commutatum
10;0.503;A;UPAR;Ulex_parviflorus
1;1.508;A;UPAR;Ulex_parviflorus
692;0.018;B;HPIC;Helichrysum_picardii
691;0.009;B;HPIC;Helichrysum_picardii
690;0.034;B;HPIC;Helichrysum_picardii
689;0.006;B;HPIC;Helichrysum_picardii
688;0.021;B;HPIC;Helichrysum_picardii
640;0.017;B;HPIC;Helichrysum_picardii
639;0.011;B;HPIC;Helichrysum_picardii
638;0.007;B;HPIC;Helichrysum_picardii
637;0.028;B;HPIC;Helichrysum_picardii
636;0.026;B;HPIC;Helichrysum_picardii
635;0.019;B;HPIC;Helichrysum_picardii
634;0.023;B;HPIC;Helichrysum_picardii
633;0.049;B;HPIC;Helichrysum_picardii
632;0.01;B;HPIC;Helichrysum_picardii
631;0.008;B;HPIC;Helichrysum_picardii
630;0.009;B;HPIC;Helichrysum_picardii
629;0.012;B;HPIC;Helichrysum_picardii
628;0.016;B;HPIC;Helichrysum_picardii
627;0.018;B;HPIC;Helichrysum_picardii
626;0.017;B;HPIC;Helichrysum_picardii
585;0.012;B;TMAS;Thymus_mastichina
584;0.009;B;TMAS;Thymus_mastichina
583;0.032;B;TMAS;Thymus_mastichina
582;0.291;B;TMAS;Thymus_mastichina
581;0.124;B;TMAS;Thymus_mastichina
580;0.017;B;TMAS;Thymus_mastichina
579;0.038;B;TMAS;Thymus_mastichina
578;0.026;B;TMAS;Thymus_mastichina
577;0.066;B;TMAS;Thymus_mastichina
576;0.012;B;TMAS;Thymus_mastichina
500;0.12;B;HHAL;Halimium_halimifolium
499;0.87;B;HHAL;Halimium_halimifolium
498;0.416;B;HHAL;Halimium_halimifolium
497;0.489;B;HHAL;Halimium_halimifolium
496;0.344;B;HHAL;Halimium_halimifolium
495;0.104;B;HHAL;Halimium_halimifolium
494;0.942;B;HHAL;Halimium_halimifolium
493;0.927;B;HHAL;Halimium_halimifolium
492;0.022;B;HHAL;Halimium_halimifolium
491;0.203;B;HHAL;Halimium_halimifolium
490;0.121;B;HHAL;Halimium_halimifolium
489;0.677;B;HHAL;Halimium_halimifolium
488;0.38;B;HHAL;Halimium_halimifolium
487;0.667;B;HHAL;Halimium_halimifolium
486;0.478;B;HHAL;Halimium_halimifolium
395;0.573;B;CLIB;Cistus_libanotis
Z;0.006;B;CSAL;Cistus_salviifolius
394;0.06;B;CLIB;Cistus_libanotis
393;0.621;B;CLIB;Cistus_libanotis
392;0.077;B;CLIB;Cistus_libanotis
391;0.45;B;CLIB;Cistus_libanotis
390;0.534;B;CLIB;Cistus_libanotis
389;0.854;B;CLIB;Cistus_libanotis
388;0.181;B;CLIB;Cistus_libanotis
387;0.201;B;CLIB;Cistus_libanotis
386;1.119;B;CLIB;Cistus_libanotis
385;0.451;B;CLIB;Cistus_libanotis
384;0.124;B;CLIB;Cistus_libanotis
383;0.088;B;CLIB;Cistus_libanotis
382;0.44;B;CLIB;Cistus_libanotis
381;0.263;B;CLIB;Cistus_libanotis
290;0.108;B;LPED;Lavandula_pedunculata
289;0.205;B;LPED;Lavandula_pedunculata
288;0.091;B;LPED;Lavandula_pedunculata
287;0.436;B;LPED;Lavandula_pedunculata
286;0.133;B;LPED;Lavandula_pedunculata
285;0.056;B;LPED;Lavandula_pedunculata
284;0.196;B;LPED;Lavandula_pedunculata
283;0.143;B;LPED;Lavandula_pedunculata
282;0.071;B;LPED;Lavandula_pedunculata
281;0.208;B;LPED;Lavandula_pedunculata
280;0.238;B;LPED;Lavandula_pedunculata
279;0.049;B;LPED;Lavandula_pedunculata
278;0.131;B;LPED;Lavandula_pedunculata
277;0.108;B;LPED;Lavandula_pedunculata
276;0.054;B;LPED;Lavandula_pedunculata
235;0.366;B;SGEN;Stauracanthus_genistoides
234;0.361;B;SGEN;Stauracanthus_genistoides
233;0.12;B;SGEN;Stauracanthus_genistoides
232;0.276;B;SGEN;Stauracanthus_genistoides
231;0.827;B;SGEN;Stauracanthus_genistoides
230;0.535;B;SGEN;Stauracanthus_genistoides
229;0.206;B;SGEN;Stauracanthus_genistoides
228;0.104;B;SGEN;Stauracanthus_genistoides
227;0.131;B;SGEN;Stauracanthus_genistoides
226;0.153;B;SGEN;Stauracanthus_genistoides
135;0.583;B;HCOM;Halimium_commutatum
134;0.664;B;HCOM;Halimium_commutatum
133;0.536;B;HCOM;Halimium_commutatum
132;0.697;B;HCOM;Halimium_commutatum
131;0.224;B;HCOM;Halimium_commutatum
130;0.315;B;HCOM;Halimium_commutatum
129;0.176;B;HCOM;Halimium_commutatum
128;0.674;B;HCOM;Halimium_commutatum
127;0.421;B;HCOM;Halimium_commutatum
126;0.539;B;HCOM;Halimium_commutatum
125;0.093;B;HCOM;Halimium_commutatum
124;0.229;B;HCOM;Halimium_commutatum
123;0.687;B;HCOM;Halimium_commutatum
122;0.54;B;HCOM;Halimium_commutatum
121;0.458;B;HCOM;Halimium_commutatum
30;0.293;B;ROFF;Rosmarinus_officinalis
29;0.448;B;ROFF;Rosmarinus_officinalis
28;1.908;B;ROFF;Rosmarinus_officinalis
27;2.178;B;ROFF;Rosmarinus_officinalis
26;0.944;B;ROFF;Rosmarinus_officinalis
25;0.132;B;ROFF;Rosmarinus_officinalis
24;0.803;B;ROFF;Rosmarinus_officinalis
23;0.527;B;ROFF;Rosmarinus_officinalis
22;0.135;B;ROFF;Rosmarinus_officinalis
21;0.727;B;ROFF;Rosmarinus_officinalis
20;0.282;B;ROFF;Rosmarinus_officinalis
19;0.655;B;ROFF;Rosmarinus_officinalis
18;0.379;B;ROFF;Rosmarinus_officinalis
17;0.442;B;ROFF;Rosmarinus_officinalis
16;6.164;B;ROFF;Rosmarinus_officinalis
31;0.831;C;ROFF;Rosmarinus_officinalis
32;0.889;C;ROFF;Rosmarinus_officinalis
33;2.308;C;ROFF;Rosmarinus_officinalis
34;2.399;C;ROFF;Rosmarinus_officinalis
35;3.099;C;ROFF;Rosmarinus_officinalis
36;0.731;C;ROFF;Rosmarinus_officinalis
37;1.195;C;ROFF;Rosmarinus_officinalis
38;1.862;C;ROFF;Rosmarinus_officinalis
39;0.433;C;ROFF;Rosmarinus_officinalis
40;1.151;C;ROFF;Rosmarinus_officinalis
41;2.978;C;ROFF;Rosmarinus_officinalis
42;2.028;C;ROFF;Rosmarinus_officinalis
43;0.596;C;ROFF;Rosmarinus_officinalis
44;1.112;C;ROFF;Rosmarinus_officinalis
45;0.805;C;ROFF;Rosmarinus_officinalis
136;0.292;C;HCOM;Halimium_commutatum
137;0.629;C;HCOM;Halimium_commutatum
138;0.243;C;HCOM;Halimium_commutatum
139;0.23;C;HCOM;Halimium_commutatum
140;0.075;C;HCOM;Halimium_commutatum
141;0.223;C;HCOM;Halimium_commutatum
142;0.621;C;HCOM;Halimium_commutatum
143;0.418;C;HCOM;Halimium_commutatum
144;0.315;C;HCOM;Halimium_commutatum
145;0.562;C;HCOM;Halimium_commutatum
146;0.225;C;HCOM;Halimium_commutatum
147;0.745;C;HCOM;Halimium_commutatum
148;0.653;C;HCOM;Halimium_commutatum
149;0.259;C;HCOM;Halimium_commutatum
150;0.085;C;HCOM;Halimium_commutatum
291;0.146;C;LPED;Lavandula_pedunculata
292;0.134;C;LPED;Lavandula_pedunculata
293;0.205;C;LPED;Lavandula_pedunculata
294;0.158;C;LPED;Lavandula_pedunculata
295;0.058;C;LPED;Lavandula_pedunculata
296;0.051;C;LPED;Lavandula_pedunculata
297;0.126;C;LPED;Lavandula_pedunculata
298;0.071;C;LPED;Lavandula_pedunculata
299;0.064;C;LPED;Lavandula_pedunculata
300;0.088;C;LPED;Lavandula_pedunculata
301;0.043;C;LPED;Lavandula_pedunculata
302;0.162;C;LPED;Lavandula_pedunculata
303;0.118;C;LPED;Lavandula_pedunculata
304;0.121;C;LPED;Lavandula_pedunculata
305;0.076;C;LPED;Lavandula_pedunculata
251;0.387;C;SGEN;Stauracanthus_genistoides
252;0.305;C;SGEN;Stauracanthus_genistoides
253;0.188;C;SGEN;Stauracanthus_genistoides
254;1.134;C;SGEN;Stauracanthus_genistoides
255;0.115;C;SGEN;Stauracanthus_genistoides
256;0.16;C;SGEN;Stauracanthus_genistoides
257;0.27;C;SGEN;Stauracanthus_genistoides
258;0.208;C;SGEN;Stauracanthus_genistoides
259;0.076;C;SGEN;Stauracanthus_genistoides
260;0.412;C;SGEN;Stauracanthus_genistoides
436;0.023;C;AVEL;Armeria_velutina
437;0.022;C;AVEL;Armeria_velutina
469;0.315;C;CLIB;Cistus_libanotis
470;0.051;C;CLIB;Cistus_libanotis
501;0.054;C;HHAL;Halimium_halimifolium
502;0.249;C;HHAL;Halimium_halimifolium
503;0.725;C;HHAL;Halimium_halimifolium
504;0.408;C;HHAL;Halimium_halimifolium
505;0.598;C;HHAL;Halimium_halimifolium
506;0.433;C;HHAL;Halimium_halimifolium
507;0.622;C;HHAL;Halimium_halimifolium
508;0.094;C;HHAL;Halimium_halimifolium
509;0.837;C;HHAL;Halimium_halimifolium
510;0.07;C;HHAL;Halimium_halimifolium
511;1.965;C;HHAL;Halimium_halimifolium
512;0.123;C;HHAL;Halimium_halimifolium
513;0.401;C;HHAL;Halimium_halimifolium
514;1.646;C;HHAL;Halimium_halimifolium
515;0.45;C;HHAL;Halimium_halimifolium
586;0.01;C;TMAS;Thymus_mastichina
587;0.009;C;TMAS;Thymus_mastichina
588;0.012;C;TMAS;Thymus_mastichina
589;0.017;C;TMAS;Thymus_mastichina
590;0.018;C;TMAS;Thymus_mastichina
641;0.008;C;HPIC;Helichrysum_picardii
642;0.01;C;HPIC;Helichrysum_picardii
643;0.01;C;HPIC;Helichrysum_picardii
644;0.009;C;HPIC;Helichrysum_picardii
645;0.006;C;HPIC;Helichrysum_picardii
646;0.029;C;HPIC;Helichrysum_picardii
647;0.015;C;HPIC;Helichrysum_picardii
648;0.012;C;HPIC;Helichrysum_picardii
649;0.011;C;HPIC;Helichrysum_picardii
650;0.02;C;HPIC;Helichrysum_picardii
651;0.02;C;HPIC;Helichrysum_picardii
652;0.025;C;HPIC;Helichrysum_picardii
653;0.014;C;HPIC;Helichrysum_picardii
654;0.008;C;HPIC;Helichrysum_picardii
655;0.01;C;HPIC;Helichrysum_picardii
447;0.009;D;AVEL;Armeria_velutina
448;0.008;D;AVEL;Armeria_velutina
446;0.01;D;AVEL;Armeria_velutina
55;0.488;D;ROFF;Rosmarinus_officinalis
314;0.229;D;LPED;Lavandula_pedunculata
667;0.002;D;HPIC;Helichrysum_picardii
51;0.511;D;ROFF;Rosmarinus_officinalis
521;0.424;D;HHAL;Halimium_halimifolium
154;0.164;D;HCOM;Halimium_commutatum
449;0.003;D;AVEL;Armeria_velutina
525;0.312;D;HHAL;Halimium_halimifolium
664;0.008;D;HPIC;Helichrysum_picardii
438;0.009;D;AVEL;Armeria_velutina
663;0.008;D;HPIC;Helichrysum_picardii
320;0.108;D;LPED;Lavandula_pedunculata
523;0.327;D;HHAL;Halimium_halimifolium
169;0.443;D;SGEN;Stauracanthus_genistoides
153;0.5;D;HCOM;Halimium_commutatum
313;0.196;D;LPED;Lavandula_pedunculata
402;0.342;D;CLIB;Cistus_libanotis
529;0.675;D;HHAL;Halimium_halimifolium
164;1.043;D;HCOM;Halimium_commutatum
403;0.069;D;CLIB;Cistus_libanotis
168;0.065;D;SGEN;Stauracanthus_genistoides
597;0.324;D;TMAS;Thymus_mastichina
